id,my id,name,position,video_title,video_id,temp_title
1,1,L1 MGBG Mango Baritone,1,'Oli L1 MGBG Mango Baritone,uBJy6pgpNIU,L1 MGBG Mango Baritone
3,2,L2 TCE Cedar Macassar Ebony Tenor,3,'Oli L2 TCE Cedar Macassar Ebony Tenor,mSw_GV9LxOM,L2 TCE Cedar Macassar Ebony Tenor
4,3,Cedar Macassar L2 Baritone,4,'Oli Cedar Macassar L2 Baritone,uDCKmlLujrs,Cedar Macassar L2 Baritone
5,4,Spruce Rosewood L2 Baritone,5,'Oli Spruce Rosewood L2 Baritone,TkO2YRW2vQE,Spruce Rosewood L2 Baritone
6,5,L1 Mango Baritone Satin,6,'Oli L1 Mango Baritone Satin,khwhxdSi-mY,L1 Mango Baritone Satin
7,6,L2 Cedar Acacia Satin,7,'Oli L2 Cedar Acacia Satin,u5KrGSLuAXc,L2 Cedar Acacia Satin
8,7,L2 Cedar Acacia Tenor,8,'Oli L2 Cedar Acacia Tenor,WL27LBQ945s,L2 Cedar Acacia Tenor
9,8,L1 Acacia Tenor,9,'Oli L1 Acacia Tenor,y_PTYfaS2tM,L1 Acacia Tenor
10,9,L1 Mango Tenor Satin,10,'Oli L1 Mango Tenor Satin,Soq6E4n5itM,L1 Mango Tenor Satin
10,9,L1 Mango Tenor Satin,15,'Oli L1 Mango Tenor Satin,loV_awbwQUw,L1 Mango Tenor Satin
11,10,L1 Mango Tenor,11,'Oli L1 Mango Tenor,Rs3343kcjXk,L1 Mango Tenor
11,10,L1 Mango Tenor,14,'Oli L1 Mango Tenor,XByuCDF8o0w,L1 Mango Tenor
12,11,L1 Acacia Baritone,12,'Oli L1 Acacia Baritone,Lb8ybMXLMIc,L1 Acacia Baritone
13,12,L1 Acacia Baritone Satin,13,'Oli L1 Acacia Baritone Satin,nIXapx821eY,L1 Acacia Baritone Satin
14,13,L1 Mango Tenor,11,'Oli L1 Mango Tenor,Rs3343kcjXk,L1 Mango Tenor
